patch;patch_features;nome_join;Name;Win %;Pick %;Ban %;Presenca_Global %;delta_wr_1p;tendencia_3p;pressao_acumulada;wr_vs_media;target
2610;2609;blitzcrank;Blitzcrank;35.59;9.94;11.42;21.36;-1.96;-1.96;0;-0.98;0
2610;2609;brand;Brand;50.82;23.05;7.73;30.78;-0.39;-0.39;0;-0.2;0
2610;2609;braum;Braum;41.58;12.04;8.39;20.43;3.97;3.97;0;1.98;0
2610;2609;briar;Briar;46.36;10.23;8.95;19.18;-0.38;-0.38;0;-0.19;0
2610;2609;caitlyn;Caitlyn;41.75;29.06;24.88;53.94;-3.3;-3.3;0;-1.65;0
2610;2609;camille;Camille;48.18;7.87;0.98;8.85;-0.2;-0.2;0;-0.1;0
2610;2609;cassiopeia;Cassiopeia;48.7;4.56;1.28;5.84;-1.24;-1.24;0;-0.62;0
2610;2609;chogath;Cho'Gath;48.5;6.72;0.61;7.33;0.15;0.15;0;0.08;0
2610;2609;corki;Corki;45.03;5.0;0.54;5.54;0.36;0.36;0;0.18;0
2610;2609;darius;Darius;47.51;14.34;13.49;27.83;0.24;0.24;0;0.12;0
2610;2609;diana;Diana;46.95;13.28;4.32;17.6;-0.44;-0.44;0;-0.22;0
2610;2609;draven;Draven;45.46;9.53;15.25;24.78;1.18;1.18;0;0.59;0
2610;2609;drmundo;Dr. Mundo;45.29;8.53;4.37;12.9;-0.96;-0.96;0;-0.48;0
2610;2609;ekko;Ekko;48.99;13.27;2.02;15.29;0.54;0.54;0;0.27;0
2610;2609;elise;Elise;48.39;6.85;1.87;8.72;-3.31;-3.31;0;-1.65;0
2610;2609;evelynn;Evelynn;46.2;4.75;2.39;7.14;-0.83;-0.83;0;-0.42;0
2610;2609;ezreal;Ezreal;41.78;42.13;11.27;53.4;-0.12;-0.12;0;-0.06;0
2610;2609;fiddlesticks;Fiddlesticks;50.55;6.72;1.67;8.39;-1.08;-1.08;0;-0.54;0
2610;2609;fiora;Fiora;47.09;7.06;5.6;12.66;-0.34;-0.34;0;-0.17;0
2610;2609;fizz;Fizz;47.85;10.5;5.14;15.64;1.78;1.78;0;0.89;0
2610;2609;galio;Galio;45.63;6.89;1.29;8.18;0.9;0.9;0;0.45;2
2610;2609;gangplank;Gangplank;42.34;11.18;4.67;15.85;0.3;0.3;0;0.15;0
2610;2609;garen;Garen;41.96;15.98;7.36;23.34;0.56;0.56;0;0.28;0
2610;2609;gnar;Gnar;43.1;8.03;1.39;9.42;-0.61;-0.61;0;-0.3;0
2610;2609;gragas;Gragas;48.46;7.73;0.73;8.46;0.45;0.45;0;0.22;0
2610;2609;graves;Graves;44.87;23.81;18.02;41.83;-0.71;-0.71;0;-0.35;0
2610;2609;gwen;Gwen;46.52;7.08;3.4;10.48;-7.06;-7.06;0;-3.53;0
2610;2609;hecarim;Hecarim;32.68;7.78;3.57;11.35;0.02;0.02;0;0.01;0
2610;2609;heimerdinger;Heimerdinger;49.08;2.99;1.27;4.26;0.0;0.0;0;0.0;0
2610;2609;hwei;Hwei;50.67;10.11;1.91;12.02;3.59;3.59;0;1.79;0
2610;2609;illaoi;Illaoi;46.63;4.39;3.56;7.95;7.5;7.5;0;3.75;0
2610;2609;irelia;Irelia;44.17;13.98;14.89;28.87;1.65;1.65;0;0.83;0
2610;2609;ivern;Ivern;47.92;3.07;0.44;3.51;-1.43;-1.43;0;-0.72;0
2610;2609;janna;Janna;39.91;7.71;0.89;8.6;-7.28;-7.28;0;-3.64;0
2610;2609;jarvaniv;Jarvan IV;47.28;16.16;1.82;17.98;0.49;0.49;0;0.24;0
2610;2609;jax;Jax;46.78;14.93;12.93;27.86;-1.72;-1.72;0;-0.86;0
2610;2609;jayce;Jayce;46.98;14.28;5.71;19.99;0.0;0.0;0;0.0;0
2610;2609;jhin;Jhin;45.01;30.93;1.48;32.41;-1.02;-1.02;0;-0.51;0
2610;2609;jinx;Jinx;45.34;21.9;3.16;25.06;-0.73;-0.73;0;-0.36;0
2610;2609;kaisa;Kai'Sa;44.64;29.46;2.44;31.9;-0.21;-0.21;0;-0.1;0
2610;2609;kalista;Kalista;41.13;3.14;0.25;3.39;-10.64;-10.64;0;-5.32;0
2610;2609;karma;Karma;43.97;21.46;9.53;30.99;-1.58;-1.58;0;-0.79;0
2610;2609;karthus;Karthus;49.94;5.52;1.69;7.21;0.34;0.34;0;0.17;0
2610;2609;kassadin;Kassadin;44.15;5.08;2.99;8.07;1.62;1.62;0;0.81;0
