nome_join;Name;Win %;Pick %;Ban %;patch
zoe;Zoe;46.66;8.22;5.29;2610
zyra;Zyra;49.73;7.34;2.16;2610
aatrox;Aatrox;48.31;14.06;7.83;2611
ahri;Ahri;50.67;21.51;4.46;2611
akali;Akali;41.03;17.6;18.78;2611
akshan;Akshan;46.82;5.98;2.88;2611
alistar;Alistar;42.79;8.59;1.61;2611
ambessa;Ambessa;46.7;10.75;8.35;2611
amumu;Amumu;40.61;4.85;0.99;2611
anivia;Anivia;46.48;10.02;4.55;2611
annie;Annie;46.46;6.59;0.77;2611
aphelios;Aphelios;42.34;8.68;1.49;2611
ashe;Ashe;42.69;28.59;8.84;2611
aurelionsol;Aurelion Sol;48.07;5.4;0.75;2611
aurora;Aurora;43.07;7.52;2.18;2611
azir;Azir;44.96;3.62;0.29;2611
bard;Bard;42.96;14.5;4.16;2611
belveth;Bel'Veth;46.89;4.33;3.28;2611
blitzcrank;Blitzcrank;36.99;10.3;10.91;2611
brand;Brand;49.94;18.45;11.15;2611
braum;Braum;40.54;9.95;6.92;2611
briar;Briar;48.37;10.43;8.98;2611
caitlyn;Caitlyn;41.5;32.45;22.38;2611
camille;Camille;48.68;8.0;0.95;2611
cassiopeia;Cassiopeia;47.72;5.76;1.91;2611
chogath;Cho'Gath;48.72;7.27;0.62;2611
corki;Corki;44.13;3.73;0.35;2611
darius;Darius;48.18;15.14;13.47;2611
diana;Diana;47.91;21.47;6.91;2611
draven;Draven;43.09;9.21;13.69;2611
drmundo;Dr. Mundo;46.91;8.8;2.99;2611
ekko;Ekko;50.02;15.69;2.22;2611
elise;Elise;48.53;6.02;1.46;2611
evelynn;Evelynn;48.33;5.67;2.77;2611
ezreal;Ezreal;41.94;35.78;8.57;2611
fiddlesticks;Fiddlesticks;50.26;6.07;1.43;2611
fiora;Fiora;49.76;6.86;5.09;2611
fizz;Fizz;47.85;12.98;7.44;2611
galio;Galio;48.28;10.79;1.55;2611
gangplank;Gangplank;38.03;11.45;5.49;2611
garen;Garen;40.9;16.82;6.47;2611
gnar;Gnar;43.99;7.32;1.17;2611
gragas;Gragas;49.7;8.06;0.75;2611
graves;Graves;44.66;24.18;16.0;2611
gwen;Gwen;45.51;6.52;2.86;2611
hecarim;Hecarim;44.34;8.71;3.85;2611
heimerdinger;Heimerdinger;50.5;4.0;1.57;2611
hwei;Hwei;51.25;9.84;1.65;2611
illaoi;Illaoi;47.09;5.03;3.89;2611
irelia;Irelia;43.89;14.21;13.86;2611
ivern;Ivern;48.35;3.01;0.42;2611
janna;Janna;42.73;7.8;0.89;2611
